  time,average,peak
	1.38886,4626.08,4626.08
	2.6163,3342.12,1889.3
	4.2853,2560.85,1336.13
	6.27469,1825.43,241.28
	8.53934,1633.03,1099.95
	9.93276,1574.99,1219.3
	11.1858,1639.58,2151.57
	13.1476,1523.32,860.441
	15.2776,1529.43,1567.12
	16.6232,1522.03,1438.04
	17.9104,1433.64,292.11
	19.5589,1341.28,337.881
	21.1281,1296.33,736.047
	22.8186,1231.36,419.402
	24.7083,1202.03,847.744
	26.7473,1252.54,1864.6
	29.0042,1279.09,1593.82
	30.5949,1248.35,687.756
	32.7171,1250.45,1280.72
	34.5724,1227.31,819.265
	36.2298,1197.58,577.424
	37.2981,1200.22,1289.91
	38.9923,1175.69,635.673
	41.4368,1136.43,510.132
	43.7171,1136.19,1131.88
	44.7688,1125.6,685.519
	45.9866,1163.58,2559.58
	46.9972,1166.39,1294.29
	48.5071,1146.7,533.81
	50.7248,1168.03,1634.61
	52.2552,1156.75,782.806
	53.5325,1144.07,625.526
	56.0666,1149.26,1258.84
	57.8597,1125.93,396.521
	59.0295,1126.42,1150.55
	61.8068,1120.27,989.462
	62.9251,1124.94,1383.36
	64.9338,1120.31,975.232
	67.6175,1105.23,740.415
	69.1282,1099.32,834.684
	71.0413,1098.21,1057.97
	72.4718,1085,429.217
	74.2132,1106.03,1981.23
	75.3341,1114.78,1694.08
	76.7893,1139.56,2422.33
	78.2569,1123.63,290.275
	80.1585,1105.06,340.773
	82.013,1101.04,927.463
	83.5372,1094.16,723.658
	85.4553,1091.51,975.951
	86.5042,1104.15,2134.7
	88.1838,1092.22,477.486
	89.261,1101.78,1884.52
	91.0891,1098.28,927.186
	93.2757,1104.53,1365.17
	96.0413,1107.42,1204.79
	97.6965,1109.52,1231.24
	99.1515,1106.24,885.921
	100.612,1097.29,489.695
	101.913,1098.65,1203.88
	103.866,1096.44,980.903
	105.856,1089.62,734.085
	107.115,1082.15,453.614
	109.343,1075.88,774.508
	111.213,1067.58,582.331
	112.64,1070.71,1314.82
	113.73,1082.95,2347.39
	114.883,1082.07,995.315
	115.947,1076.52,477.65
	117.779,1075.78,1028.94
	120.277,1075.06,1041.22
	121.398,1081.17,1736.57
	123.735,1076.84,851.994
	126.275,1077.79,1124.02
	128.176,1065.56,252.98
	129.623,1059.05,482.996
	131.533,1056.07,853.34
	132.908,1053.37,795.56
	134.061,1061.58,2008.06
	135.653,1066.82,1508.41
	136.721,1067.23,1118.61
	138.242,1061.89,582.333
	140.651,1061.65,1047.66
	142.492,1058.51,818.613
	143.999,1066.95,1865.6
	145.822,1056.76,251.742
	147.294,1053.82,762.358
	148.315,1056.32,1418.09
	150.039,1049.43,456.888
	151.128,1061,2655.31
	152.996,1060.12,989.16
	155.689,1056.36,842.405
	157.945,1058.68,1218.52
	160.609,1064.35,1400.93
	162.221,1056.87,312.002
	163.294,1052.23,350.3
	164.556,1051.7,982.879
	166.158,1048.82,753.182
	167.429,1053.56,1673.15
	169.007,1055.02,1210.35
	170.186,1051.73,580.282
	172.262,1049.11,833.74
	174.127,1058.87,1960.68
	175.518,1066.45,2015.74
	176.586,1060.01,0.936289
	178.538,1048.42,0.512286
	180.157,1039,0.617566
	181.372,1032.05,0.823239
	182.894,1023.47,0.65678
	183.896,1018.16,49.9211
	184.898,1012.92,49.9217
	185.899,1007.73,49.9208
	187.254,1035.11,4791.46
	189.229,1050.74,2532.77
	191.198,1054.53,1419.16
	192.58,1055.27,1157.87
	194.17,1049.75,381.142
	196.9,1044.04,637.479
	197.978,1044.05,1045.45
	199.054,1048.54,1875.89
	200.125,1049.73,1270.57
	201.854,1053.37,1474.57
	203.825,1049.97,701.941
	205.155,1050.54,1138.36
	207.644,1049.58,969.766
	208.995,1054.26,1774.29
	210.473,1052.95,867.632
	212.83,1050.48,829.299
	214.627,1048.43,805.9
	216.424,1053.6,1671.11
	217.98,1053.74,1072.94
	219.747,1054.61,1161.95
	221.469,1049.33,375.245
	222.68,1052.08,1555.65
	224.31,1051.41,960.192
	225.597,1053.12,1350.45
	226.947,1054.94,1359.53
	228.786,1051.66,646.792
	230.315,1052.34,1154.25
	232.012,1052.89,1127.1
	233.436,1054.84,1373.13
	234.966,1060.87,1981.18
	236.689,1058.19,691.947
	238.557,1056.09,790.633
	240.466,1051.37,460.927
	242.261,1048.4,651.327
	243.427,1045.14,367.881
	244.591,1045.05,1024.85
	246.033,1042.99,694.682
	248.034,1043.54,1110.97
	249.618,1041.04,650.257
	251.804,1042,1150.8
	253.392,1045,1520.89
	254.441,1045.98,1283.39
	256.23,1042.45,541.014
	258.588,1046.16,1448.45
	259.903,1044.64,745.548
	262.561,1042.69,852.495
	264.184,1038.28,324.057
	266.786,1042.43,1463.64
	267.867,1049.14,2705.37
	269.122,1049.89,1210.59
	271.587,1051.64,1242.21
	273.194,1049.36,664.872
	274.444,1051.09,1427.83
	275.927,1051.69,1163.56
	277.098,1054.49,1714.25
	278.917,1050.99,518.286
	279.96,1054.15,1899.41
	281.703,1050.47,458.355
	283.389,1049.94,961.716
	285.349,1044.62,275.005
	288.204,1043.39,921.058
	290.568,1045.83,1343.46
	292.732,1045.07,943.174
	295.222,1042.9,787.878
	296.763,1044.05,1263.99
	298.134,1040.55,281.555
	299.336,1044.98,2145.42
	300.672,1042.59,507.44
	302.574,1039.41,535.67
	303.617,1041.66,1694.34
	305.47,1037.86,415.084
	307.127,1038.76,1204.44
	308.853,1041.02,1443.52
	310.068,1046.01,2314.8
	311.553,1043.37,491.742
	313.986,1044.32,1165.85
	315.842,1042.55,742.837
	317.447,1050,2517.14
	318.765,1047.56,458.957
	320.216,1044.33,334.868
	321.563,1044.14,1000.97
	323.518,1041.12,543.747
	325.507,1037.52,451.919
	326.573,1039.26,1571.07
	327.889,1039.77,1166.81
	328.927,1042.4,1870.76
	330.227,1045.6,1856.62
	331.44,1042.95,321.525
	332.94,1039.46,267.327
	334.836,1038.53,876.878
	336.547,1038.34,1000.7
	337.573,1042.02,2246.53
	339.589,1042.31,1091.95
	341.261,1040.01,573.01
	343.136,1038.45,754.718
	346.598,1040.09,1202.49
	347.98,1039.89,989.221
	349.264,1041.48,1471.17
	351.214,1041.35,1019.37
	353.38,1040.49,899.779
