orig,fm_sketch,hyperloglog,hyperloglog64
446,512,798,606
447,512,798,606
448,512,798,606
449,512,798,606
450,512,798,606
451,512,798,606
452,512,798,606
453,512,798,606
454,512,798,606
455,512,798,606
456,512,798,641
457,512,798,641
458,512,798,641
459,512,798,641
460,512,798,641
461,512,798,641
462,512,798,641
463,512,798,641
464,512,798,641
465,512,798,641
466,512,798,641
467,512,798,641
468,512,798,641
469,512,856,641
470,512,856,641
471,512,856,641
472,512,856,641
473,512,856,641
474,512,856,641
475,512,856,641
476,512,856,641
477,512,928,641
478,512,928,641
479,512,928,641
480,512,928,641
481,512,928,641
482,512,928,641
483,512,928,641
484,512,928,641
485,512,928,641
486,512,928,641
487,512,928,641
488,512,928,641
489,512,928,641
490,512,928,641
491,512,928,641
492,512,928,641
493,512,928,641
494,512,928,641
495,512,928,641
496,512,928,641
497,512,928,641
498,512,928,641
499,512,928,641
500,512,928,641
501,512,928,641
502,512,928,641
503,512,928,726
504,512,969,726
505,512,969,726
506,512,969,726
507,512,969,726
508,512,969,726
509,512,969,726
510,512,969,726
511,512,969,726
512,512,969,726
513,512,969,726
514,512,969,726
515,512,969,726
516,512,969,726
517,512,969,726
518,512,969,726
519,512,969,726
520,512,969,726
521,512,969,726
522,512,969,726
523,512,969,726
524,512,969,726
525,512,1116,726
526,512,1116,726
527,512,1116,726
528,512,1116,726
529,512,1116,726
530,512,1116,726
531,512,1116,726
532,512,1116,726
533,512,1116,726
534,512,1116,726
535,512,1116,726
536,512,1116,726
537,512,1242,726
538,512,1242,726
539,512,1242,726
540,512,1242,726
541,512,1242,726
542,512,1242,726
543,512,1242,726
544,512,1242,726
545,512,1242,726
546,512,1242,726
547,512,1242,726
548,512,1242,726
549,512,1242,726
550,512,1242,726
551,512,1242,726
552,512,1242,726
553,512,1242,726
554,512,1242,726
555,512,1242,726
556,512,1242,726
557,512,1242,726
558,512,1242,726
559,512,1242,726
560,512,1242,726
561,512,1242,726
562,512,1242,726
563,512,1242,726
564,512,1242,828
565,512,1242,828
566,512,1242,828
567,512,1242,828
568,512,1242,828
569,512,1242,828
570,512,1242,828
571,512,1242,828
572,512,1242,828
573,512,1242,828
574,512,1242,828
575,512,1242,828
576,512,1242,828
577,512,1242,828
578,512,1242,828
579,512,1242,828
580,512,1242,828
581,512,1242,828
582,512,1242,828
583,512,1242,828
584,512,1242,828
585,512,1242,828
586,512,1242,828
587,512,1242,828
588,512,1242,828
589,512,1242,828
590,512,1242,828
591,512,1242,828
592,512,1242,828
593,512,1242,828
594,512,1242,828
595,512,1242,828
596,512,1242,828
597,512,1242,828
598,512,1242,828
599,512,1242,828
600,512,1242,828
601,512,1242,828
602,512,1242,828
603,512,1242,828
604,512,1242,828
605,512,1242,828
606,512,1242,828
607,512,1242,828
608,512,1242,828
609,512,1242,828
610,512,1242,828
611,512,1242,828
612,512,1242,828
613,512,1242,828
614,512,1242,828
615,512,1242,828
616,512,1242,828
617,512,1242,828
