required,available,time_us
1,266,142017
1,265,142017
1,264,142017
1,263,142017
1,262,142017
1,261,142017
632,405,146018
886,253,150018
523,820,154019
763,57,154019
454,270,157019
360,357,160020
708,96,164020
800,333,168021
859,179,171021
580,1002,175021
763,239,175021
763,714,180022
458,256,180022
354,319,184023
372,266,187023
691,436,190023
603,430,194024
863,290,198024
427,334,202025
994,648,206025
531,117,206025
684,628,211026
411,217,211026
715,42,215026
375,469,218027
757,452,221027
838,495,225028
717,327,228028
846,144,232029
986,162,236029
720,458,239030
619,475,243030
480,161,248031
415,437,251031
643,71,254032
702,274,257032
363,288,261032
783,838,263033
664,174,263033
661,537,264033
